Model,Dataset,Technique,Acc_mean,Acc_std,F1_mean,F1_std,Drop_mean,Drop_std,Size_mean,Size_std,N_seeds,Acc_str,F1_str,Size_str
MLP,Dynamic,Baseline,0.8096,0.0051,0.8066,0.0056,0.0,0.0,0.5862,0.0,30,0.8096 ± 0.0051,0.8066 ± 0.0056,0.586 ± 0.000
MLP,Dynamic,Distillation (128→64),0.8138,0.0047,0.8103,0.0054,0.0042,0.0058,0.0785,0.0,30,0.8138 ± 0.0047,0.8103 ± 0.0054,0.079 ± 0.000
MLP,Dynamic,Pruning 25%,0.8126,0.004,0.8098,0.0043,0.003,0.004,0.2011,0.0,30,0.8126 ± 0.0040,0.8098 ± 0.0043,0.201 ± 0.000
MLP,Dynamic,Pruning 50%,0.8126,0.005,0.8096,0.0055,0.003,0.0046,0.2011,0.0,30,0.8126 ± 0.0050,0.8096 ± 0.0055,0.201 ± 0.000
MLP,Dynamic,Pruning 75%,0.8122,0.005,0.8091,0.0056,0.0025,0.0045,0.2011,0.0,30,0.8122 ± 0.0050,0.8091 ± 0.0056,0.201 ± 0.000
MLP,Dynamic,Quantization INT8,0.8093,0.0047,0.8062,0.0053,-0.0003,0.0019,0.0506,0.0,30,0.8093 ± 0.0047,0.8062 ± 0.0053,0.051 ± 0.000
MLP,Static,Baseline,0.9716,0.0006,0.9739,0.0005,0.0,0.0,1.3522,0.0,30,0.9716 ± 0.0006,0.9739 ± 0.0005,1.352 ± 0.000
MLP,Static,Distillation (128→64),0.9741,0.0005,0.9761,0.0005,0.0025,0.0007,0.2062,0.0,30,0.9741 ± 0.0005,0.9761 ± 0.0005,0.206 ± 0.000
MLP,Static,Pruning 25%,0.9722,0.0006,0.9745,0.0005,0.0006,0.0006,0.4564,0.0,30,0.9722 ± 0.0006,0.9745 ± 0.0005,0.456 ± 0.000
MLP,Static,Pruning 50%,0.9722,0.0005,0.9745,0.0004,0.0006,0.0006,0.4564,0.0,30,0.9722 ± 0.0005,0.9745 ± 0.0004,0.456 ± 0.000
MLP,Static,Pruning 75%,0.9717,0.0006,0.9739,0.0006,0.0001,0.0007,0.4564,0.0,30,0.9717 ± 0.0006,0.9739 ± 0.0006,0.456 ± 0.000
MLP,Static,Quantization INT8,0.9716,0.0006,0.9738,0.0005,0.0,0.0003,0.1144,0.0,30,0.9716 ± 0.0006,0.9738 ± 0.0005,0.114 ± 0.000
RF,Dynamic,Baseline,0.852,0.0019,0.8508,0.002,0.0,0.0,83.49,0.1251,30,0.8520 ± 0.0019,0.8508 ± 0.0020,83.490 ± 0.125
RF,Dynamic,Pruning 50% (100 trees),0.8504,0.0024,0.8492,0.0024,-0.0016,0.0026,40.755,0.1028,30,0.8504 ± 0.0024,0.8492 ± 0.0024,40.755 ± 0.103
RF,Dynamic,Pruning 75% (50 trees),0.8473,0.0031,0.8461,0.0031,-0.0047,0.0033,20.3832,0.0747,30,0.8473 ± 0.0031,0.8461 ± 0.0031,20.383 ± 0.075
RF,Dynamic,Pruning 87% (25 trees),0.8416,0.0035,0.8403,0.0034,-0.0104,0.0036,10.1866,0.046,30,0.8416 ± 0.0035,0.8403 ± 0.0034,10.187 ± 0.046
RF,Dynamic,Quantization INT8,0.852,0.002,0.8508,0.002,-0.0,0.0001,83.4901,0.1251,30,0.8520 ± 0.0020,0.8508 ± 0.0020,83.490 ± 0.125
RF,Static,Baseline,0.9776,0.0001,0.9794,0.0001,0.0,0.0,183.4494,0.241,30,0.9776 ± 0.0001,0.9794 ± 0.0001,183.449 ± 0.241
RF,Static,Pruning 50% (100 trees),0.9775,0.0001,0.9793,0.0001,-0.0001,0.0001,90.4922,0.1695,30,0.9775 ± 0.0001,0.9793 ± 0.0001,90.492 ± 0.170
RF,Static,Pruning 75% (50 trees),0.9773,0.0001,0.9791,0.0001,-0.0003,0.0002,45.2368,0.1019,30,0.9773 ± 0.0001,0.9791 ± 0.0001,45.237 ± 0.102
RF,Static,Pruning 87% (25 trees),0.9769,0.0002,0.9788,0.0002,-0.0007,0.0002,22.6277,0.0758,30,0.9769 ± 0.0002,0.9788 ± 0.0002,22.628 ± 0.076
RF,Static,Quantization INT8,0.9776,0.0001,0.9794,0.0001,0.0,0.0,183.4494,0.241,30,0.9776 ± 0.0001,0.9794 ± 0.0001,183.449 ± 0.241
XGB,Dynamic,Baseline,0.8323,0.0017,0.8307,0.0018,0.0,0.0,2.9162,0.0043,30,0.8323 ± 0.0017,0.8307 ± 0.0018,2.916 ± 0.004
XGB,Dynamic,Pruning 67% (100 rounds),0.7887,0.0023,0.7851,0.0024,-0.0436,0.0025,1.0126,0.0023,30,0.7887 ± 0.0023,0.7851 ± 0.0024,1.013 ± 0.002
XGB,Dynamic,Pruning 83% (50 rounds),0.7503,0.0023,0.7434,0.0026,-0.082,0.003,0.5138,0.0014,30,0.7503 ± 0.0023,0.7434 ± 0.0026,0.514 ± 0.001
XGB,Dynamic,Pruning 92% (25 rounds),0.7086,0.0034,0.6963,0.0036,-0.1237,0.0039,0.2544,0.0009,30,0.7086 ± 0.0034,0.6963 ± 0.0036,0.254 ± 0.001
XGB,Dynamic,Quantization INT8,0.8323,0.0017,0.8307,0.0018,0.0,0.0,2.9162,0.0043,30,0.8323 ± 0.0017,0.8307 ± 0.0018,2.916 ± 0.004
XGB,Static,Baseline,0.9641,0.0003,0.9669,0.0003,0.0,0.0,0.259,0.0015,30,0.9641 ± 0.0003,0.9669 ± 0.0003,0.259 ± 0.002
XGB,Static,Pruning 67% (100 rounds),0.9565,0.0004,0.9599,0.0004,-0.0075,0.0006,0.0923,0.0002,30,0.9565 ± 0.0004,0.9599 ± 0.0004,0.092 ± 0.000
XGB,Static,Pruning 83% (50 rounds),0.9501,0.0006,0.9538,0.0006,-0.0139,0.0006,0.0466,0.0001,30,0.9501 ± 0.0006,0.9538 ± 0.0006,0.047 ± 0.000
XGB,Static,Pruning 92% (25 rounds),0.945,0.0009,0.949,0.0008,-0.0191,0.001,0.0235,0.0001,30,0.9450 ± 0.0009,0.9490 ± 0.0008,0.024 ± 0.000
XGB,Static,Quantization INT8,0.9641,0.0003,0.9669,0.0003,0.0,0.0,0.259,0.0015,30,0.9641 ± 0.0003,0.9669 ± 0.0003,0.259 ± 0.002
