Seed,Model,Entropy
42,RF Base,1.5437
42,RF 50%,1.5766
42,RF 75%,1.5594
42,RF 87%,1.5776
42,MLP Base,1.646
42,MLP Quant,1.6466
42,MLP 25%,1.7176
42,MLP 50%,1.7176
42,MLP 75%,1.7176
42,MLP Dist,1.5334
43,RF Base,1.5331
43,RF 50%,1.5425
43,RF 75%,1.5724
43,RF 87%,1.5498
43,MLP Base,1.7756
43,MLP Quant,1.7621
43,MLP 25%,1.7866
43,MLP 50%,1.7866
43,MLP 75%,1.7866
43,MLP Dist,1.6145
44,RF Base,1.5224
44,RF 50%,1.516
44,RF 75%,1.5442
44,RF 87%,1.5934
44,MLP Base,1.6438
44,MLP Quant,1.632
44,MLP 25%,1.654
44,MLP 50%,1.654
44,MLP 75%,1.654
44,MLP Dist,1.5354
45,RF Base,1.5382
45,RF 50%,1.5303
45,RF 75%,1.5449
45,RF 87%,1.5524
45,MLP Base,1.6002
45,MLP Quant,1.5941
45,MLP 25%,1.6592
45,MLP 50%,1.6592
45,MLP 75%,1.6592
45,MLP Dist,1.6609
46,RF Base,1.5235
46,RF 50%,1.5151
46,RF 75%,1.5233
46,RF 87%,1.5335
46,MLP Base,1.641
46,MLP Quant,1.6281
46,MLP 25%,1.6669
46,MLP 50%,1.6559
46,MLP 75%,1.6559
46,MLP Dist,1.6329
47,RF Base,1.5012
47,RF 50%,1.5179
47,RF 75%,1.5415
47,RF 87%,1.5854
47,MLP Base,1.5861
47,MLP Quant,1.5887
47,MLP 25%,1.6062
47,MLP 50%,1.6062
47,MLP 75%,1.6062
47,MLP Dist,1.6392
48,RF Base,1.5397
48,RF 50%,1.5487
48,RF 75%,1.5416
48,RF 87%,1.5892
48,MLP Base,1.721
48,MLP Quant,1.7062
48,MLP 25%,1.6501
48,MLP 50%,1.6501
48,MLP 75%,1.6501
48,MLP Dist,1.6355
49,RF Base,1.5368
49,RF 50%,1.5235
49,RF 75%,1.5253
49,RF 87%,1.5722
49,MLP Base,1.6507
49,MLP Quant,1.642
49,MLP 25%,1.6566
49,MLP 50%,1.6162
49,MLP 75%,1.6162
49,MLP Dist,1.6007
50,RF Base,1.5357
50,RF 50%,1.5462
50,RF 75%,1.5585
50,RF 87%,1.5537
50,MLP Base,1.6499
50,MLP Quant,1.6435
50,MLP 25%,1.6469
50,MLP 50%,1.633
50,MLP 75%,1.633
50,MLP Dist,1.6226
51,RF Base,1.5198
51,RF 50%,1.5391
51,RF 75%,1.5263
51,RF 87%,1.5174
51,MLP Base,1.6569
51,MLP Quant,1.6608
51,MLP 25%,1.6145
51,MLP 50%,1.6145
51,MLP 75%,1.6145
51,MLP Dist,1.584
52,RF Base,1.559
52,RF 50%,1.5484
52,RF 75%,1.5547
52,RF 87%,1.5663
52,MLP Base,1.6357
52,MLP Quant,1.6219
52,MLP 25%,1.6588
52,MLP 50%,1.6524
52,MLP 75%,1.6106
52,MLP Dist,1.6399
53,RF Base,1.52
53,RF 50%,1.539
53,RF 75%,1.5494
53,RF 87%,1.5718
53,MLP Base,1.6829
53,MLP Quant,1.6653
53,MLP 25%,1.634
53,MLP 50%,1.6673
53,MLP 75%,1.7192
53,MLP Dist,1.6644
54,RF Base,1.5151
54,RF 50%,1.5307
54,RF 75%,1.5333
54,RF 87%,1.5637
54,MLP Base,1.6383
54,MLP Quant,1.6323
54,MLP 25%,1.6886
54,MLP 50%,1.6886
54,MLP 75%,1.6886
54,MLP Dist,1.6689
55,RF Base,1.5088
55,RF 50%,1.5123
55,RF 75%,1.5271
55,RF 87%,1.5326
55,MLP Base,1.7048
55,MLP Quant,1.7076
55,MLP 25%,1.7008
55,MLP 50%,1.6925
55,MLP 75%,1.6925
55,MLP Dist,1.5826
56,RF Base,1.5207
56,RF 50%,1.5424
56,RF 75%,1.5448
56,RF 87%,1.5567
56,MLP Base,1.763
56,MLP Quant,1.7384
56,MLP 25%,1.7304
56,MLP 50%,1.7304
56,MLP 75%,1.7304
56,MLP Dist,1.6457
57,RF Base,1.4979
57,RF 50%,1.5028
57,RF 75%,1.5479
57,RF 87%,1.5542
57,MLP Base,1.6416
57,MLP Quant,1.6508
57,MLP 25%,1.6622
57,MLP 50%,1.5805
57,MLP 75%,1.5805
57,MLP Dist,1.5489
58,RF Base,1.5383
58,RF 50%,1.5472
58,RF 75%,1.5588
58,RF 87%,1.569
58,MLP Base,1.6295
58,MLP Quant,1.6301
58,MLP 25%,1.6266
58,MLP 50%,1.6266
58,MLP 75%,1.6266
58,MLP Dist,1.6403
59,RF Base,1.5504
59,RF 50%,1.5485
59,RF 75%,1.5686
59,RF 87%,1.552
59,MLP Base,1.6062
59,MLP Quant,1.6166
59,MLP 25%,1.6502
59,MLP 50%,1.6502
59,MLP 75%,1.6502
59,MLP Dist,1.6294
60,RF Base,1.5431
60,RF 50%,1.5337
60,RF 75%,1.5494
60,RF 87%,1.5643
60,MLP Base,1.7029
60,MLP Quant,1.703
60,MLP 25%,1.7028
60,MLP 50%,1.7028
60,MLP 75%,1.7028
60,MLP Dist,1.6391
61,RF Base,1.518
61,RF 50%,1.5047
61,RF 75%,1.5143
61,RF 87%,1.545
61,MLP Base,1.6467
61,MLP Quant,1.6476
61,MLP 25%,1.6527
61,MLP 50%,1.6527
61,MLP 75%,1.6527
61,MLP Dist,1.5711
62,RF Base,1.499
62,RF 50%,1.5193
62,RF 75%,1.5138
62,RF 87%,1.5496
62,MLP Base,1.6843
62,MLP Quant,1.667
62,MLP 25%,1.6806
62,MLP 50%,1.6099
62,MLP 75%,1.6304
62,MLP Dist,1.6024
63,RF Base,1.5068
63,RF 50%,1.4943
63,RF 75%,1.5203
63,RF 87%,1.5578
63,MLP Base,1.7797
63,MLP Quant,1.7656
63,MLP 25%,1.7816
63,MLP 50%,1.7816
63,MLP 75%,1.7816
63,MLP Dist,1.655
64,RF Base,1.5265
64,RF 50%,1.538
64,RF 75%,1.5478
64,RF 87%,1.5591
64,MLP Base,1.6451
64,MLP Quant,1.6495
64,MLP 25%,1.6162
64,MLP 50%,1.6162
64,MLP 75%,1.6162
64,MLP Dist,1.6002
65,RF Base,1.5086
65,RF 50%,1.515
65,RF 75%,1.5301
65,RF 87%,1.5029
65,MLP Base,1.6184
65,MLP Quant,1.6111
65,MLP 25%,1.6315
65,MLP 50%,1.6492
65,MLP 75%,1.6492
65,MLP Dist,1.5451
66,RF Base,1.5284
66,RF 50%,1.5398
66,RF 75%,1.5223
66,RF 87%,1.5444
66,MLP Base,1.6179
66,MLP Quant,1.6058
66,MLP 25%,1.6385
66,MLP 50%,1.6275
66,MLP 75%,1.5666
66,MLP Dist,1.6733
67,RF Base,1.5034
67,RF 50%,1.5345
67,RF 75%,1.5553
67,RF 87%,1.5686
67,MLP Base,1.516
67,MLP Quant,1.5196
67,MLP 25%,1.6046
67,MLP 50%,1.5472
67,MLP 75%,1.5472
67,MLP Dist,1.6545
68,RF Base,1.5152
68,RF 50%,1.521
68,RF 75%,1.5145
68,RF 87%,1.5271
68,MLP Base,1.7088
68,MLP Quant,1.709
68,MLP 25%,1.684
68,MLP 50%,1.684
68,MLP 75%,1.684
68,MLP Dist,1.5381
69,RF Base,1.5404
69,RF 50%,1.5149
69,RF 75%,1.5284
69,RF 87%,1.5346
69,MLP Base,1.601
69,MLP Quant,1.5989
69,MLP 25%,1.6267
69,MLP 50%,1.6267
69,MLP 75%,1.6267
69,MLP Dist,1.6479
70,RF Base,1.5395
70,RF 50%,1.5411
70,RF 75%,1.5572
70,RF 87%,1.6009
70,MLP Base,1.6647
70,MLP Quant,1.6645
70,MLP 25%,1.678
70,MLP 50%,1.5832
70,MLP 75%,1.5832
70,MLP Dist,1.6166
71,RF Base,1.5288
71,RF 50%,1.5122
71,RF 75%,1.5018
71,RF 87%,1.5256
71,MLP Base,1.7047
71,MLP Quant,1.7052
71,MLP 25%,1.65
71,MLP 50%,1.65
71,MLP 75%,1.65
71,MLP Dist,1.6284
